trainsize, units, mse, avg_error
32,2,0.2524260244974031,0.43081196630373597
32,4,0.22465206693788192,0.3475785427726805
32,8,0.1751298115560275,0.2836418254300952
64,2,0.23894716114331305,0.447280190885067
64,4,0.2210262849098497,0.39975210931152105
64,8,0.1596546387190229,0.32082829298451543
16,2,0.3108241578434798,0.45641149627044797
16,4,0.31957927294884303,0.386065770406276
16,8,0.2323262578660329,0.40604070061817765
32,2,0.2866713303828896,0.40135574666783214
32,4,0.2160574853184149,0.35784609196707606
32,8,0.26341542413513297,0.4208537288941443
64,2,0.20209890444862946,0.37382956594228745
64,4,0.19440683258783625,0.35348406387493014
64,8,0.17754231955015487,0.31111677968874574
16,2,0.40603616566060896,0.47806326067075133
16,4,0.19930210596590245,0.2914719404652715
16,8,0.32036751781141803,0.4564613373950124
32,2,0.20395409639210665,0.33784139482304454
32,4,0.18390470304302783,0.33739183470606804
